Date,Aquafluor_ug_L,Het_bac_cell_ml
7/24/2019,0.708,
7/25/2019,0.787,
7/26/2019,0.84,
7/27/2019,0.808,
7/28/2019,0.637,9.20E+05
7/29/2019,0.797,1.60E+06
7/30/2019,1.153,9.44E+05
7/31/2019,1.706,5.29E+05
8/1/2019,5.97,1.16E+06
8/2/2019,11.628,2.09E+06
8/3/2019,10.722,2.19E+06
8/4/2019,5.759,1.70E+06
8/5/2019,4.734,2.01E+06
8/6/2019,3.296,6.54E+06
8/7/2019,3.265,4.63E+06
8/8/2019,3.945,1.07E+06
8/9/2019,3.499,5.37E+05
8/10/2019,3.038,2.78E+06
8/11/2019,1.878,1.29E+06
8/12/2019,1.304,1.40E+06
8/13/2019,1.493,1.16E+06
