Sample,Date_time,Amt_sampled,Dark_light
g27,7/24/2019 13:59,2016,Light
g32,7/27/2019 6:08,2000,Dark
g33,7/27/2019 14:13,2000,Light
g36,7/30/2019 13:34,2000,Light
g38,7/31/2019 13:56,2000,Light
g41,8/2/2019 6:13,2000,Dark
g43,8/2/2019 13:36,2000,Light
g46,8/3/2019 13:50,2100,Light
g48,8/4/2019 13:41,2000,Light
g49,8/5/2019 13:34,2000,Light
g50,8/6/2019 5:20,2000,Dark
g52,8/6/2019 13:39,2000,Light
g53,8/7/2019 14:01,2000,Light
g56,8/8/2019 5:46,2000,Dark
g57,8/8/2019 13:37,2000,Light
g58,8/9/2019 13:52,2000,Light
g60,8/10/2019 5:40,2000,Dark
g61,8/10/2019 13:45,2700,Light
g62,8/11/2019 13:45,2000,Light
g63,8/12/2019 5:01,2000,Dark
